               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12339,            0.037549,             0.04307,           0.0017956,              0.1047,           0.0011687,          0.00020005,             0.12023,            0.034256,            0.043393,               2e-05,               2e-05,             0.09982
                   1,             0.12193,            0.042963,            0.042272,           0.0017985,              0.1047,          0.00099655,           0.0001449,             0.12021,            0.034059,            0.043351,          4.8287e-05,          4.8287e-05,            0.099548
                   2,             0.11973,            0.038387,            0.041381,           0.0026328,             0.15598,            0.001311,          0.00018122,             0.11985,            0.033956,            0.043376,          6.9456e-05,          6.9456e-05,            0.099269
                   3,             0.11853,            0.050108,            0.042227,           0.0021566,            0.051282,           0.0011064,          0.00015295,             0.11963,            0.033779,            0.043286,          7.9443e-05,          7.9443e-05,            0.098979
                   4,             0.12207,            0.034188,            0.040937,           0.0015294,             0.15385,           0.0010551,          0.00015048,             0.11914,            0.033713,            0.043217,             7.7e-05,             7.7e-05,            0.098677
                   5,             0.11936,            0.041856,            0.042351,           0.0015236,             0.15385,           0.0010658,          0.00015141,              0.1187,             0.03365,            0.043155,          6.4225e-05,          6.4225e-05,            0.098364
                   6,             0.11947,            0.039748,            0.042825,           0.0015284,             0.15385,           0.0010383,          0.00018948,             0.11815,            0.033599,             0.04313,           4.636e-05,           4.636e-05,            0.098046
                   7,             0.11864,            0.038537,            0.041792,           0.0024765,             0.12821,           0.0015318,          0.00029328,             0.11784,            0.033521,            0.043084,          3.0878e-05,          3.0878e-05,            0.097731
