               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12339,            0.037549,             0.04307,           0.0017956,              0.1047,           0.0011687,          0.00020005,             0.12023,            0.034264,            0.043393,               2e-05,               2e-05,             0.09982
                   1,             0.12193,            0.042963,            0.042272,           0.0017985,              0.1047,          0.00099655,           0.0001449,             0.12021,            0.034059,            0.043351,          4.8287e-05,          4.8287e-05,            0.099548
                   2,             0.11974,            0.038396,            0.041381,           0.0026235,             0.15598,           0.0013098,          0.00018105,             0.11986,            0.033961,            0.043377,          6.9456e-05,          6.9456e-05,            0.099269
                   3,             0.11853,             0.05007,            0.042229,           0.0016122,             0.12821,           0.0010727,          0.00014953,             0.11963,            0.033778,             0.04329,          7.9443e-05,          7.9443e-05,            0.098979
                   4,             0.12206,            0.034188,            0.040936,           0.0015267,             0.15385,           0.0010537,          0.00015025,             0.11913,            0.033724,             0.04322,             7.7e-05,             7.7e-05,            0.098677
                   5,             0.11936,            0.041858,            0.042351,           0.0014629,            0.051282,          0.00088269,          0.00013319,              0.1187,            0.033657,            0.043155,          6.4225e-05,          6.4225e-05,            0.098364
                   6,             0.11947,            0.039747,            0.042826,            0.001465,            0.076923,          0.00090206,          0.00016221,             0.11814,            0.033603,            0.043134,           4.636e-05,           4.636e-05,            0.098046
                   7,             0.11865,            0.038538,            0.041792,           0.0024753,             0.12821,           0.0015291,          0.00029328,             0.11784,            0.033523,            0.043085,          3.0878e-05,          3.0878e-05,            0.097731
