               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12339,            0.037549,             0.04307,           0.0017956,              0.1047,           0.0011687,          0.00020005,             0.12023,            0.034264,            0.043393,               2e-05,               2e-05,             0.09982
                   1,             0.12193,            0.042964,            0.042272,           0.0017988,              0.1047,          0.00099868,          0.00014514,             0.12022,            0.034059,            0.043352,           4.341e-05,           4.341e-05,            0.099543
                   2,             0.11975,            0.038368,            0.041381,           0.0026305,             0.15598,           0.0011668,          0.00016682,             0.11992,            0.033951,            0.043388,             4.4e-05,             4.4e-05,            0.099244
                   3,             0.11859,            0.050087,            0.042243,           0.0021347,            0.051282,           0.0011032,          0.00015253,             0.11981,            0.033743,            0.043315,          2.5498e-05,          2.5498e-05,            0.098925
